,Linear Regression,Ridge,Lasso,Elastic Net,SVR,KNN,Random Forest,MLP,Gaussian Process
NO NLP,0.1008874319887265,0.084307721335959,0.0820744074202263,0.0820744074202263,0.08190428231030485,0.09331929795978651,0.08289637538681585,0.09266448217538961,0.08359595213782285
NLP,0.08457445813331362,0.08216495659284857,0.0820744074202263,0.0820744074202263,0.08254884622905385,0.09504812708690852,0.10004607624048861,0.10666982019053135,0.08381110479051536
BOTH,0.11116725439660914,0.08444251680850565,0.0820744074202263,0.0820744074202263,0.08280022853601084,0.09340784870712084,0.08448136420416512,0.09084926902541401,0.08359596822112333
