,log_returns_1,delta_volume_1,log_returns_2,delta_volume_2,log_returns_3,delta_volume_3,log_returns_4,delta_volume_4,log_returns_5,delta_volume_5,neg,neu,pos,compound,pos-neg,return
2014-01-27,-0.01834451667666304,0.06476453678114624,0.008431885335474525,0.06119712030889635,0.004433953635294303,0.15663379669482058,0.015416825936144893,-0.23014690926269787,-0.024806942186547047,0.8612322159125603,0.011,0.887,0.103,1.0,0.092,-0.050334358885737826
2014-04-23,0.0009974258299960848,0.10963862813669545,0.011798132875464357,-0.35797849292945205,0.011360717685058407,0.32392897186514036,0.0020253677988694226,-0.19409508799579722,-0.007156466340545563,0.2956912395344089,0.014,0.816,0.17,1.0,0.156,0.1327490371905514
2014-07-22,-0.005202428065938935,-0.21823237577018484,0.014291985449337567,-0.12757862403574294,-0.01799174977206296,0.07307060601577264,-0.0056811494661388445,0.17411533953854508,-0.01178520756514687,0.062319551506657245,0.014,0.846,0.14,1.0,0.126,0.009184527530561799
2014-10-20,0.01454137790867412,-0.055087347289496824,-0.013209512504799509,-0.2851290353261946,-0.01232874181553535,0.5847985353736775,-0.010676976015794173,0.1885882568108781,-0.00917549020959972,-0.19218894162058509,0.021,0.855,0.124,1.0,0.103,0.08259804250422108
2015-01-27,0.00106161128335073,0.19692756667412747,0.005146779757492445,-0.13628421232647536,0.025682708240766357,0.10747098870015792,0.007605510891009129,-0.02653311930484825,0.025430889923525296,-0.3644401649147342,0.015,0.883,0.102,1.0,0.087,0.10126898608280319
2015-04-27,0.004693415412408682,-0.027200688647153526,0.00813016174716395,0.21554927033953453,0.01338423258169158,0.16091826447274715,-0.0054222307820170285,-0.31068786487101074,0.02258882795394738,-0.0943607213657448,0.026,0.851,0.123,1.0,0.097,-0.03390048850236589
2015-07-21,0.018725186385867572,0.27587095767978553,0.008600321562292736,0.2744793277088211,0.013237950417990424,0.07647135741711542,0.009586953762995832,0.05921348774399471,-0.0003981027841358212,-0.23340451973311138,0.019,0.846,0.135,1.0,0.116,-0.09414928049816837
2015-10-27,-0.0324317569663739,0.11735327261487472,0.030525112632050783,0.4252354510120253,0.015179436942164988,-0.003375985759130229,-8.753179572280607e-05,-0.14647584739359332,0.01809348578110578,0.6454676200973144,0.02,0.828,0.152,1.0,0.132,0.05705897345216668
2016-01-26,-0.01971586953690561,-0.2128555254139406,0.05180201820862392,0.26147637625451714,-0.005075672717537238,-0.2788839058594528,0.0013439784183761872,0.3625453730336783,-0.004850430039659244,-0.3350230916941299,0.022,0.848,0.131,1.0,0.10900000000000001,-0.044649166813440166
2016-04-26,-0.0056934812387503175,-0.16778443789318676,-0.002740395061124201,0.06752555265034466,-0.010887171843225107,0.030756917447976262,0.002055732766097652,-0.054775528101059456,-0.005317433636895024,-0.4675419054117377,0.022,0.836,0.143,1.0,0.121,-0.10536696290872502
2016-07-26,-0.0134696002498391,0.4262671427612781,-0.007774461125374188,-0.13419056938413554,-0.005316048768053952,0.24455777135028156,0.0009008057319919816,0.10496679969217704,0.0004004534118209315,-0.34838699070255574,0.023,0.846,0.131,1.0,0.10800000000000001,0.12710317036256077
2016-10-25,0.008964792589653244,0.01491848728263645,-0.003937383268589564,-0.03867643767253315,-0.0005125616795640103,0.20420672237029946,-0.002984008022835204,-0.18404300812511454,-0.0006807167979295884,0.039305986480365984,0.02,0.816,0.163,1.0,0.14300000000000002,-0.06150629125054654
2017-01-31,-0.0026275709322758703,0.47729649028104015,8.188581085179022e-05,-0.21925687989794063,0.0004924605845588509,-0.18654872504447517,0.015795064328802576,0.3949248201283875,-0.0009165134372205297,0.05264351343751983,0.026,0.816,0.158,1.0,0.132,0.10315513697643931
2017-05-02,0.020191748611364937,0.6108463883722268,-0.0009741679969591817,0.46426791517797605,0.0007652488933879766,-0.2891493523341916,-0.005898796859979043,0.0619823543438518,0.006176988053139988,0.1013872758151777,0.021,0.829,0.15,1.0,0.129,0.05987850233862166
2017-08-01,-0.0051638689894638315,0.1529130866693389,-0.007065259597737467,-0.46996117168519813,-0.01907832598253377,1.0579367593942082,0.004702755461516433,-0.16298484663650492,0.004264727242995373,-0.12279697764874475,0.015,0.831,0.154,1.0,0.139,0.06949488461655505
2017-11-02,-0.012800307364708668,-0.06682978794234162,0.013819360180583617,-0.19359832486219486,0.02225914748960701,0.005547282371519469,0.035202777454079744,1.6148760330578513,0.006373278440440198,-0.19835809705240226,0.017,0.84,0.143,1.0,0.126,0.009385614283058038
2018-02-01,0.002751134647944733,-0.29467601339466043,-0.005911514616580206,-0.09068253805262205,-0.020915603904527968,0.29372812507983537,0.0023346430916744284,-0.057453827445881234,-0.018011961053197526,-0.187380515838928,0.017,0.874,0.11,1.0,0.093,0.0016234982234337395
2018-05-01,0.017950495881757723,0.18991580612410885,-0.011637100701441132,0.27510639058756214,0.003476522208394266,-0.014766349213060304,0.0043481061106044015,-0.15760121096996316,-0.014016756197751681,-0.07732332844956247,0.02,0.846,0.134,1.0,0.114,0.1169457923384511
2018-07-31,-0.005618350477510813,-0.12464618714618714,-0.01677155339152489,0.25938351855734965,-0.003135938554438889,0.14159869299038297,0.009385920809801175,-0.10632210034281919,0.007228241180812612,0.1693934731759792,0.02,0.825,0.156,1.0,0.136,0.10148991605475356
2018-11-01,0.025732649994894028,0.04634206219312609,0.004981767060866126,-0.20192443752653177,-0.018948462454733632,-0.027992907081069163,-0.016051851947289888,0.5828884169910034,0.02166159228467473,-0.27048417245971335,0.016,0.847,0.138,1.0,0.12200000000000001,-0.15645861897562882
